start,duration,value
2023-07-27T22:04:00+02:00,[60],[1.15]
2023-07-27T22:06:00+02:00,[60],[1.22]
2023-07-27T22:35:00+02:00,"[60,60,60,60,60,60,60,60]","[1.19,1.29,1.2,2.17,1.3,1.6,1.53,1.31]"
2023-07-27T22:45:00+02:00,"[60,60]","[1.39,2.29]"
2023-07-27T22:49:00+02:00,"[60,60]","[1.57,1.38]"
2023-07-27T22:52:00+02:00,[60],[2.111]
2023-07-27T22:54:00+02:00,[60],[1.26]
2023-07-27T22:56:00+02:00,[60],[1.15]
2023-07-27T23:05:00+02:00,[60],[1.15]
2023-07-28T06:50:00+02:00,"[60,60,60]","[1.23,1.219,1.49]"
2023-07-28T08:21:00+02:00,[60],[1.15]
2023-07-28T08:31:00+02:00,"[60,60,60]","[1.88,1.27,1.28]"
2023-07-28T10:28:00+02:00,[60],[1.2]
2023-07-28T10:39:00+02:00,[60],[1.15]
2023-07-28T10:52:00+02:00,[60],[1.17]
2023-07-28T11:18:00+02:00,[60],[1.3]
2023-07-28T11:21:00+02:00,[60],[1.78]
2023-07-28T11:25:00+02:00,"[60,60,60,60,60]","[1.431,1.17,1.41,1.35,1.24]"
2023-07-28T13:30:00+02:00,"[60,60]","[1.29,1.31]"
2023-07-28T13:44:13+02:00,[46],[1]
2023-07-28T14:27:00+02:00,[60],[1]
2023-07-28T14:36:06+02:00,[53],[1]
2023-07-28T15:20:15+02:00,[44],[1]
2023-07-28T15:21:00+02:00,[15],[1]
2023-07-28T15:31:00+02:00,[49],[1]
2023-07-28T13:45:00+02:00,[60],[2.21]
2023-07-28T13:48:00+02:00,[60],[1.26]
2023-07-28T14:09:00+02:00,"[60,60]","[1.33,1.24]"
2023-07-28T14:12:00+02:00,"[60,60,60]","[1.4,1.79,1.28]"
2023-07-28T14:16:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[1.46,1.33,1.681,2.69,1.71,1.58,2.73,1.25,1.65,1.27,3.4]"
2023-07-28T14:28:00+02:00,"[60,60,60,60,60,60,60,60]","[3.59,2.71,1.47,3.06,1.24,1.36,4.12,2.111]"
2023-07-28T14:37:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[2.02,1.41,1.89,2.091,1.25,2.7,2.22,1,1,1.17,1.79,1.14,1.29,1.36,1,1.25,1.22,1,1,1,1,1,1,1,1,1,1,1.47,3.39,1.23,2.41,1.14,1]"
2023-07-28T15:24:00+02:00,[60],[1.16]
2023-07-28T15:26:00+02:00,[60],[1.32]
2023-07-28T15:30:00+02:00,[60],[1.39]
2023-07-28T15:33:00+02:00,[60],[1.41]
2023-07-28T15:39:00+02:00,[60],[1.2]
2023-07-28T15:44:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[1.51,1.31,3.14,1.9,1.17,1.58,1.5,3.37,1.7,1.35]"
2023-07-28T15:56:00+02:00,"[60,60,60]","[1.74,1.89,2.54]"
2023-07-28T16:42:00+02:00,"[60,60]","[1.3,1.44]"
2023-07-28T02:28:00+02:00,"[120,720,540,2040,300,1200,480,720,2940]","[0,0,0,0,0,0,0,0,0]"
2023-07-28T04:59:00+02:00,[3000],[0]
2023-07-28T05:55:00+02:00,"[2220,60]","[0,0]"
