start,duration,value
2023-07-27T17:32:00+02:00,"[60,60,60]","[8085,7963,7443]"
2023-07-27T17:49:00+02:00,[60],[6193]
2023-07-27T18:17:00+02:00,[60],[6682]
2023-07-27T18:50:00+02:00,"[60,60,60,60]","[5746,6426,6874,7891]"
2023-07-27T19:26:00+02:00,[60],[7266]
2023-07-27T19:47:00+02:00,[60],[6705]
2023-07-27T20:07:00+02:00,[60],[6200]
2023-07-27T20:40:49+02:00,[10],[0]
2023-07-27T20:41:00+02:00,"[60,60,60]","[6257,6185,5796]"
2023-07-27T20:48:00+02:00,[60],[6306]
2023-07-27T20:50:00+02:00,[60],[7338]
2023-07-27T20:59:00+02:00,[60],[6890]
2023-07-27T21:08:00+02:00,"[60,60]","[7971,7323]"
2023-07-27T21:46:00+02:00,[60],[6201]
2023-07-27T22:04:00+02:00,[60],[6704]
2023-07-27T22:06:00+02:00,[60],[6761]
2023-07-27T22:35:00+02:00,"[60,60,60,60,60,60,60,60]","[6200,6193,6689,6489,6937,6865,6874,7330]"
2023-07-27T22:45:00+02:00,"[60,60]","[7394,6372]"
2023-07-27T22:49:00+02:00,"[60,60]","[6937,6809]"
2023-07-27T22:52:00+02:00,[60],[6158]
2023-07-27T22:54:00+02:00,[60],[7394]
2023-07-27T22:56:00+02:00,[60],[6698]
2023-07-27T23:05:00+02:00,[60],[6713]
2023-07-28T06:50:00+02:00,"[60,60,60]","[6745,6659,6817]"
2023-07-28T08:21:00+02:00,[60],[6705]
2023-07-28T08:31:00+02:00,"[60,60,60]","[6233,7378,7329]"
2023-07-28T10:28:00+02:00,[60],[6200]
2023-07-28T10:39:00+02:00,[60],[6193]
2023-07-28T10:52:00+02:00,[60],[6200]
2023-07-28T11:18:00+02:00,[60],[7394]
2023-07-28T11:21:00+02:00,[60],[6226]
2023-07-28T11:25:00+02:00,"[60,60,60,60,60]","[6825,6761,6146,6874,7330]"
2023-07-28T13:30:00+02:00,"[60,60]","[6193,6682]"
2023-07-28T13:44:13+02:00,[46],[0]
2023-07-28T14:27:00+02:00,[60],[0]
2023-07-28T14:36:06+02:00,[53],[0]
2023-07-28T15:20:15+02:00,[44],[0]
2023-07-28T15:21:00+02:00,[15],[0]
2023-07-28T15:31:00+02:00,[49],[0]
2023-07-28T13:45:00+02:00,[60],[6297]
2023-07-28T13:48:00+02:00,[60],[7323]
2023-07-28T14:09:00+02:00,"[60,60]","[7443,7442]"
2023-07-28T14:12:00+02:00,"[60,60,60]","[6817,6882,6730]"
2023-07-28T14:16:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[6811,7322,6994,5980,6874,6995,5924,7499,7118,7514,5430]"
2023-07-28T14:28:00+02:00,"[60,60,60,60,60,60,60,60]","[5438,5941,7002,5869,7564,7572,4926,6324]"
2023-07-28T14:37:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[6893,7402,6956,6445,7507,5933,6486,8076,8142,8142,7638,8077,7573,8150,8085,7386,7499,8142,8142,8142,8142,8134,8141,8149,8084,8142,8077,7459,5300,6873,5843,7306,7385]"
2023-07-28T15:24:00+02:00,[60],[6754]
2023-07-28T15:26:00+02:00,[60],[6200]
2023-07-28T15:30:00+02:00,[60],[6674]
2023-07-28T15:33:00+02:00,[60],[7379]
2023-07-28T15:39:00+02:00,[60],[6754]
2023-07-28T15:44:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[6178,6154,5428,7059,8077,7574,7450,5373,6756,7387]"
2023-07-28T15:56:00+02:00,"[60,60,60]","[6891,6883,5876]"
2023-07-28T16:42:00+02:00,"[60,60]","[6825,7514]"
